City,County,State
North Canaan,Litchfield County,Connecticut
North Haven,New Haven County,Connecticut
North Stonington,New London County,Connecticut
Norwalk,Fairfield County,Connecticut
Norwich,New London County,Connecticut
Old Lyme,New London County,Connecticut
Old Saybrook,Middlesex County,Connecticut
Orange,New Haven County,Connecticut
Oxford,New Haven County,Connecticut
Plainfield,Windham County,Connecticut
Bethlehem,Litchfield County,Connecticut
Plainville,Hartford County,Connecticut
Plymouth,Litchfield County,Connecticut
Pomfret,Windham County,Connecticut
Portland,Middlesex County,Connecticut
Preston,New London County,Connecticut
Prospect,New Haven County,Connecticut
Putnam,Windham County,Connecticut
Redding,Fairfield County,Connecticut
Ridgefield,Fairfield County,Connecticut
Rocky Hill,Hartford County,Connecticut
Bloomfield,Hartford County,Connecticut
Roxbury,Litchfield County,Connecticut
Salem,New London County,Connecticut
Salisbury,Litchfield County,Connecticut
Scotland,Windham County,Connecticut
Seymour,New Haven County,Connecticut
Sharon,Litchfield County,Connecticut
Shelton,Fairfield County,Connecticut
Sherman,Fairfield County,Connecticut
Simsbury,Hartford County,Connecticut
Somers,Tolland County,Connecticut
Bolton,Tolland County,Connecticut
Southbury,New Haven County,Connecticut
Southington,Hartford County,Connecticut
South Windsor,Hartford County,Connecticut
Sprague,New London County,Connecticut
Stafford,Tolland County,Connecticut
Stamford,Fairfield County,Connecticut
Sterling,Windham County,Connecticut
Stonington,New London County,Connecticut
Stratford,Fairfield County,Connecticut
Suffield,Hartford County,Connecticut
Bozrah,New London County,Connecticut
Thomaston,Litchfield County,Connecticut
Thompson,Windham County,Connecticut
Tolland,Tolland County,Connecticut
Torrington,Litchfield County,Connecticut
Trumbull,Fairfield County,Connecticut
Union,Tolland County,Connecticut
Vernon,Tolland County,Connecticut
Voluntown,New London County,Connecticut
Wallingford,New Haven County,Connecticut
Warren,Litchfield County,Connecticut
Branford,New Haven County,Connecticut
Washington,Litchfield County,Connecticut
Waterbury,New Haven County,Connecticut
Waterford,New London County,Connecticut
Watertown,Litchfield County,Connecticut
Westbrook,Middlesex County,Connecticut
West Hartford,Hartford County,Connecticut
West Haven,New Haven County,Connecticut
Weston,Fairfield County,Connecticut
Westport,Fairfield County,Connecticut
Wethersfield,Hartford County,Connecticut
Bridgeport,Fairfield County,Connecticut
Willington,Tolland County,Connecticut
Wilton,Fairfield County,Connecticut
Winchester,Litchfield County,Connecticut
Windham,Windham County,Connecticut
Windsor,Hartford County,Connecticut
Windsor Locks,Hartford County,Connecticut
Wolcott,New Haven County,Connecticut
Woodbridge,New Haven County,Connecticut
Woodbury,Litchfield County,Connecticut
Woodstock,Windham County,Connecticut
Bridgewater,Litchfield County,Connecticut
Bristol,Hartford County,Connecticut
Brookfield,Fairfield County,Connecticut
Brooklyn,Windham County,Connecticut
Andover,Tolland County,Connecticut
Burlington,Hartford County,Connecticut
Canaan,Litchfield County,Connecticut
Canterbury,Windham County,Connecticut
Canton,Hartford County,Connecticut
Chaplin,Windham County,Connecticut
Cheshire,New Haven County,Connecticut
Chester,Middlesex County,Connecticut
Clinton,Middlesex County,Connecticut
Colchester,New London County,Connecticut
Colebrook,Litchfield County,Connecticut
Ansonia,New Haven County,Connecticut
Columbia,Tolland County,Connecticut
Cornwall,Litchfield County,Connecticut
Coventry,Tolland County,Connecticut
Cromwell,Middlesex County,Connecticut
Danbury,Fairfield County,Connecticut
Darien,Fairfield County,Connecticut
Deep River,Middlesex County,Connecticut
Derby,New Haven County,Connecticut
Durham,Middlesex County,Connecticut
Eastford,Windham County,Connecticut
Ashford,Windham County,Connecticut
East Granby,Hartford County,Connecticut
East Haddam,Middlesex County,Connecticut
East Hampton,Middlesex County,Connecticut
East Hartford,Hartford County,Connecticut
East Haven,New Haven County,Connecticut
East Lyme,New London County,Connecticut
Easton,Fairfield County,Connecticut
East Windsor,Hartford County,Connecticut
Ellington,Tolland County,Connecticut
Enfield,Hartford County,Connecticut
Avon,Hartford County,Connecticut
Essex,Middlesex County,Connecticut
Fairfield,Fairfield County,Connecticut
Farmington,Hartford County,Connecticut
Franklin,New London County,Connecticut
Glastonbury,Hartford County,Connecticut
Goshen,Litchfield County,Connecticut
Granby,Hartford County,Connecticut
Greenwich,Fairfield County,Connecticut
Griswold,New London County,Connecticut
Groton,New London County,Connecticut
Barkhamsted,Litchfield County,Connecticut
Guilford,New Haven County,Connecticut
Haddam,Middlesex County,Connecticut
Hamden,New Haven County,Connecticut
Hampton,Windham County,Connecticut
Hartford,Hartford County,Connecticut
Hartland,Hartford County,Connecticut
Harwinton,Litchfield County,Connecticut
Hebron,Tolland County,Connecticut
Kent,Litchfield County,Connecticut
Killingly,Windham County,Connecticut
Beacon Falls,New Haven County,Connecticut
Killingworth,Middlesex County,Connecticut
Lebanon,New London County,Connecticut
Ledyard,New London County,Connecticut
Lisbon,New London County,Connecticut
Litchfield,Litchfield County,Connecticut
Lyme,New London County,Connecticut
Madison,New Haven County,Connecticut
Manchester,Hartford County,Connecticut
Mansfield,Tolland County,Connecticut
Marlborough,Hartford County,Connecticut
Berlin,Hartford County,Connecticut
Meriden,New Haven County,Connecticut
Middlebury,New Haven County,Connecticut
Middlefield,Middlesex County,Connecticut
Middletown,Middlesex County,Connecticut
Milford,New Haven County,Connecticut
Monroe,Fairfield County,Connecticut
Montville,New London County,Connecticut
Morris,Litchfield County,Connecticut
Naugatuck,New Haven County,Connecticut
New Britain,Hartford County,Connecticut
Bethany,New Haven County,Connecticut
New Canaan,Fairfield County,Connecticut
New Fairfield,Fairfield County,Connecticut
New Hartford,Litchfield County,Connecticut
New Haven,New Haven County,Connecticut
Newington,Hartford County,Connecticut
New London,New London County,Connecticut
New Milford,Litchfield County,Connecticut
Newtown,Fairfield County,Connecticut
Norfolk,Litchfield County,Connecticut
North Branford,New Haven County,Connecticut
Bethel,Fairfield County,Connecticut
Aroostook Cty Townships,Aroostook County,Maine
Damariscotta,Lincoln County,Maine
St. Albans,Somerset County,Maine
Belfast,Waldo County,Maine
Turner,Androscoggin County,Maine
Alexander,Washington County,Maine
Weld,Franklin County,Maine
Haynesville,Aroostook County,Maine
Otisfield,Oxford County,Maine
Bucksport,Hancock County,Maine
