GEO_ID,NAME,DP04_0001E,DP04_0001M,DP04_0002E,DP04_0002M,DP04_0003E,DP04_0003M,DP04_0004E,DP04_0004M,DP04_0005E,DP04_0005M,DP04_0006E,DP04_0006M,DP04_0007E,DP04_0007M,DP04_0008E,DP04_0008M,DP04_0009E,DP04_0009M,DP04_0010E,DP04_0010M,DP04_0011E,DP04_0011M,DP04_0012E,DP04_0012M,DP04_0013E,DP04_0013M,DP04_0014E,DP04_0014M,DP04_0015E,DP04_0015M,DP04_0027E,DP04_0027M,DP04_0028E,DP04_0028M,DP04_0029E,DP04_0029M,DP04_0030E,DP04_0030M,DP04_0031E,DP04_0031M,DP04_0032E,DP04_0032M,DP04_0033E,DP04_0033M,DP04_0034E,DP04_0034EA,DP04_0034M,DP04_0035E,DP04_0035M,DP04_0036E,DP04_0036M,DP04_0037E,DP04_0037M,DP04_0038E,DP04_0038M,DP04_0039E,DP04_0039M,DP04_0040E,DP04_0040M,DP04_0041E,DP04_0041M,DP04_0042E,DP04_0042M,DP04_0043E,DP04_0043M,DP04_0044E,DP04_0044M,DP04_0045E,DP04_0045M,DP04_0046E,DP04_0046M,DP04_0047E,DP04_0047M,DP04_0048E,DP04_0048M,DP04_0049E,DP04_0049M,DP04_0050E,DP04_0050M,DP04_0051E,DP04_0051M,DP04_0052E,DP04_0052M,DP04_0053E,DP04_0053M,DP04_0054E,DP04_0054M,DP04_0055E,DP04_0055M,DP04_0056E,DP04_0056M,DP04_0057E,DP04_0057M,DP04_0058E,DP04_0058M,DP04_0059E,DP04_0059M,DP04_0060E,DP04_0060M,DP04_0061E,DP04_0061M,DP04_0076E,DP04_0076M,DP04_0077E,DP04_0077M,DP04_0078E,DP04_0078M,DP04_0079E,DP04_0079M
0500000US01003,"Baldwin County, Alabama",128533,889,94105,3462,34428,3410,1.4,0.9,33.1,5.9,128533,889,83224,3481,2397,1275,949,547,3251,1520,2610,1211,4877,1977,18140,2241,12607,2237,478,360,128533,889,1406,797,1075,616,5832,1791,23004,2999,29358,3844,30664,3629,14182,null,2134,11342,2074,11670,2107,5.6,0.1,128533,889,1406,797,8692,2417,30844,3273,58650,4304,24269,3311,4672,1471,94105,3462,71380,3609,22725,3078,2.59,0.11,2.24,0.23,94105,3462,29354,3582,23647,3312,12399,2428,13920,1945,7568,1675,7217,1649,94105,3462,1819,1031,31023,3194,39362,3077,21901,2769,94105,3462,92836,3510,1269,786,0,216
0500000US01015,"Calhoun County, Alabama",53211,656,44631,1889,8580,1750,1.6,1.5,8.1,4.8,53211,656,40059,2010,342,372,814,443,1282,664,1632,754,592,433,1430,525,7060,1444,0,216,53211,656,478,374,848,611,2012,706,8097,1476,9913,1529,12375,2003,7751,null,1480,5603,1066,6134,1225,5.9,0.2,53211,656,546,395,2429,901,14888,1825,24893,2120,9032,1711,1423,652,44631,1889,32470,1757,12161,1770,2.56,0.13,2.4,0.19,44631,1889,11809,1929,7686,1566,4664,1079,8648,1389,4567,983,7257,1028,44631,1889,3278,661,12582,1941,15727,2035,13044,1906,44631,1889,43578,1946,760,538,293,329
0500000US01043,"Cullman County, Alabama",39465,186,35131,1361,4334,1350,1.8,2.2,3.9,4.3,39465,186,28337,1529,183,192,740,527,759,553,682,476,300,328,279,264,8130,1346,55,81,39465,186,307,327,742,504,2383,922,5991,1448,7459,1307,8302,1290,4972,null,1164,3900,904,5409,1297,5.8,0.3,39465,186,317,328,1909,745,7712,1335,21316,1843,7287,1431,924,486,35131,1361,26688,1691,8443,1320,2.52,0.13,2.59,0.34,35131,1361,8382,1431,7910,1291,3720,860,6787,1299,3907,778,4425,999,35131,1361,1204,570,8248,1285,13426,1796,12253,1563,35131,1361,34290,1401,587,395,254,283
0500000US01049,"DeKalb County, Alabama",30774,204,24979,1117,5795,1105,0.1,0.2,8,6.8,30774,204,21520,1086,134,180,739,498,726,498,439,415,352,227,100,138,6764,1134,0,216,30774,204,484,429,853,559,1079,551,3701,966,7157,1400,6997,1136,3713,null,792,2411,618,4379,948,5.8,0.2,30774,204,484,429,1521,694,8336,1368,15455,1337,3707,939,1271,575,24979,1117,19663,1126,5316,971,2.8,0.18,3,0.49,24979,1117,5154,959,4418,972,2728,704,4808,1012,4224,867,3647,696,24979,1117,1051,511,6444,1340,9656,1435,7828,1197,24979,1117,23889,1261,944,558,146,155
0500000US01051,"Elmore County, Alabama",37081,602,32108,1460,4973,1304,1.3,1.6,9.2,6.3,37081,602,24585,1970,1115,790,1152,850,979,673,573,588,1290,710,220,234,7118,1480,49,67,37081,602,307,370,49,80,1919,937,4327,1341,6960,1439,7667,1530,6673,null,1332,4485,1086,4694,1157,6.1,0.3,37081,602,307,370,727,507,7957,1655,18435,1838,7978,1339,1677,634,32108,1460,22990,1867,9118,1837,2.7,0.16,2.5,0.3,32108,1460,8636,1556,6913,1478,3794,1151,6355,1087,3284,816,3126,881,32108,1460,1331,774,9359,1401,10687,1515,10731,1376,N,N,per,N,N,N,N,N
0500000US01055,"Etowah County, Alabama",47420,194,38006,1724,9414,1691,2.3,2,3.8,3.2,47420,194,36780,1552,97,123,904,476,1095,549,1974,769,702,380,830,367,5038,1106,0,216,47420,194,991,534,603,404,979,444,6850,1483,9012,1688,13346,1565,6842,null,1392,4716,1104,4081,1034,5.9,0.1,47420,194,1061,553,2311,628,11162,1684,25480,1795,6463,1467,943,588,38006,1724,27864,1689,10142,1554,2.75,0.14,2.5,0.24,38006,1724,6823,1224,10898,1562,4468,963,6450,1153,4334,933,5033,878,38006,1724,1674,525,11575,1373,14719,1582,10038,1428,N,N,N,N,N,N,N,N
0500000US01069,"Houston County, Alabama",49737,206,44058,937,5679,917,2.1,1,4.8,1.8,49737,206,35048,1022,790,241,1266,356,1854,474,1860,404,1353,610,1028,443,6499,839,39,65,49737,206,391,179,389,231,2489,557,6882,909,12873,1142,10123,901,6944,null,880,4822,732,4824,639,5.7,0.1,49737,206,405,180,2480,635,9586,953,29087,1294,6830,877,1349,495,44058,937,28246,958,15812,1019,2.42,0.07,2.41,0.11,44058,937,12649,1026,10234,886,4919,709,7223,859,4502,665,4531,569,44058,937,3008,770,15126,1240,16631,1201,9293,1008,44058,937,43428,930,477,225,153,125
0500000US01073,"Jefferson County, Alabama",309206,1203,270147,3778,39059,3379,0.7,0.4,4.7,1.3,309206,1203,214434,3829,8029,1544,4415,1091,12453,2102,20281,2516,19023,2574,20626,2213,9945,1888,0,216,309206,1203,3728,1282,5718,1411,22724,3008,41011,3488,62656,4074,61155,3755,43898,null,3967,26080,2245,42236,3349,5.8,0.1,309206,1203,4552,1495,28087,2952,80905,4077,136071,5230,44485,4001,15106,2163,270147,3778,173994,4091,96153,4267,2.56,0.05,2.15,0.1,270147,3778,77249,4724,58293,4358,27507,2755,48350,3473,27863,2655,30885,2558,270147,3778,15583,2203,96701,4635,97232,4847,60631,3740,270147,3778,265504,3918,3238,1236,1405,755
0500000US01077,"Lauderdale County, Alabama",44721,387,38250,1562,6471,1497,0,0.7,4.6,3.9,44721,387,32516,1592,438,353,904,536,2269,918,2200,882,1549,643,1062,541,3672,1083,111,142,44721,387,181,179,409,351,1985,824,8949,1337,9931,1376,8681,1675,5386,null,1271,4189,1047,5010,1127,5.6,0.2,44721,387,221,191,1938,718,13643,1811,21175,1675,5536,1243,2208,706,38250,1562,25600,1692,12650,1679,2.6,0.12,2.02,0.17,38250,1562,9442,1651,8302,1489,4838,1235,6042,1349,4598,988,5028,975,38250,1562,1192,420,12647,1868,13454,1704,10957,1808,N,N,N,N,N,N,N,N
0500000US01081,"Lee County, Alabama",77656,464,67358,2031,10298,1921,0.3,0.4,5,2.7,77656,464,44381,2645,3545,1359,2685,1310,2206,1033,4053,1512,6023,1625,3013,1052,11537,2003,213,266,77656,464,1413,836,1350,904,6070,1823,10691,1728,15521,2370,15930,2234,8809,null,1688,7263,1597,10609,1816,5.7,0.2,77656,464,1500,857,5415,1516,17905,2683,33425,3227,15555,2155,3856,1442,67358,2031,43635,2507,23723,2342,2.71,0.11,2.24,0.16,67358,2031,23976,3066,16681,2177,7810,1654,10261,1635,4442,1132,4188,959,67358,2031,3005,1248,20905,2794,28055,3144,15393,2446,N,N,N,N,N,N,N,N
