,countyFIPS,GEO_ID,NAME,Total Population,Male population,Female Population,Sex Ratio,Population under 5 Years,Population 5 to 9 Years,Population 10 to 14 Years,Population 15 to 19 Years,Population 20 to 24 Years,Population 25 to 34 Years,Population 35 to 44 Years,Population 45 to 54 Years,Population 55 to 59 Years,Population 60 to 64 Years,Population 65 to 74 Years,Population 75 to 84 Years,Population Above 85 Years,Meadin Age Population,Population of White Race,Population of Black Race,Population of American Indian and Alaska Native,Population of Asian Race,Population of Indian Race,Population of Native Hawaiian and Other Pacific Islander,Total Housing Units,Population of Citizen Over 18,Population of Male Citizen,Population of Female Citizen
1,1003,0500000US01003,"Baldwin County, Alabama",239294,115696,123598,93.6,12360,12848,16966,13471,10753,28436,27503,30037,18112,17688,31776,14983,4361,43.9,198355,21305,884,1956,N,0,128533,185566,90007,95559
2,1015,0500000US01015,"Calhoun County, Alabama",115972,55581,60391,92.0,6478,7374,6684,8780,7780,13113,15097,13683,7571,8260,13250,6893,1009,40.2,82072,22470,1307,983,N,0,53211,88832,42469,46363
3,1043,0500000US01043,"Cullman County, Alabama",89496,44331,45165,98.2,5022,4415,6954,5277,5456,10923,10861,11615,7073,5015,10194,5822,869,40.5,81885,1098,426,509,N,33,39465,68751,33921,34830
4,1049,0500000US01049,"DeKalb County, Alabama",71813,35952,35861,100.3,6080,4690,4079,4148,4018,8448,7993,10175,4612,5052,7783,3498,1237,40.2,58855,1160,1822,71,N,10,30774,49274,23916,25358
5,1051,0500000US01051,"Elmore County, Alabama",89304,44004,45300,97.1,4667,5476,5962,5693,5023,12328,11368,12394,6317,5169,9005,4652,1250,40.0,66105,19046,167,88,N,0,37081,68232,32750,35482
6,1055,0500000US01055,"Etowah County, Alabama",103162,49734,53428,93.1,6017,6458,6213,6740,5711,12190,12327,13480,7339,6961,12248,5213,2265,41.5,79421,14722,123,357,N,0,47420,79732,37942,41790
7,1069,0500000US01069,"Houston County, Alabama",107458,51800,55658,93.1,6504,5824,7827,6586,6044,13498,13767,13292,5874,8372,11842,5856,2172,40.5,69907,29485,157,1143,281,44,49737,81970,38353,43617
8,1073,0500000US01073,"Jefferson County, Alabama",667820,317276,350544,90.5,40974,44325,42206,42392,41600,94972,86484,79506,41501,43157,68678,30735,11290,38.3,326427,287023,956,11694,4516,334,309206,502728,232373,270355
9,1077,0500000US01077,"Lauderdale County, Alabama",94043,45167,48876,92.4,4783,5495,5404,5170,8307,11620,10139,11198,6209,6666,11080,5650,2322,40.0,79120,6698,1228,212,N,59,44721,73701,34985,38716
10,1081,0500000US01081,"Lee County, Alabama",177218,87082,90136,96.6,9455,8485,13163,15210,20459,25674,21282,20432,11054,9148,14107,6750,1999,33.3,120083,38469,84,7811,920,0,77656,134133,64410,69723
11,1083,0500000US01083,"Limestone County, Alabama",107517,53324,54193,98.4,4813,4757,9132,7696,5607,13031,16806,14148,6253,8318,10298,6041,617,40.8,81606,9993,1016,2039,N,400,43361,81921,41482,40439
12,1089,0500000US01089,"Madison County, Alabama",395211,195279,199932,97.7,21516,21705,27810,24720,25885,53272,53150,49367,28860,27147,37151,17833,6795,39.6,256152,92590,1962,7782,1657,373,174149,301483,146770,154713
13,1095,0500000US01095,"Marshall County, Alabama",98228,47339,50889,93.0,6984,7694,5957,6506,6186,12254,11515,11497,6630,6343,10057,5011,1594,37.8,80600,2955,2406,760,N,0,41502,69043,33072,35971
14,1097,0500000US01097,"Mobile County, Alabama",413073,197854,215219,91.9,26252,25980,27512,26610,26705,56044,51449,47999,27883,26548,42367,21388,6336,38.8,231092,149022,1541,9163,520,0,185315,310266,145239,165027
15,1101,0500000US01101,"Montgomery County, Alabama",227434,106323,121111,87.8,15102,12960,17060,15279,15018,31891,29836,25857,15754,12291,22091,10302,3993,37.2,72578,135092,118,8117,1562,0,105705,166120,75890,90230
16,1103,0500000US01103,"Morgan County, Alabama",123668,60541,63127,95.9,6449,7661,8539,8737,6688,14471,16267,15243,8169,8680,13459,6436,2869,40.8,91851,15678,294,130,N,300,53545,91411,44675,46736
17,1115,0500000US01115,"St. Clair County, Alabama",92748,46928,45820,102.4,5699,4941,5997,6403,4522,10813,12739,12675,6312,5985,10611,5390,661,41.3,N,N,N,N,N,N,38511,71905,35498,36407
18,1117,0500000US01117,"Shelby County, Alabama",226902,109625,117277,93.5,11856,14599,15191,15746,13229,26692,31508,31414,13616,15902,22846,10628,3675,40.6,173863,25172,1592,4925,835,0,90921,169652,80206,89446
19,1121,0500000US01121,"Talladega County, Alabama",81524,38582,42942,89.8,4350,4549,4957,5147,4621,10137,10288,10668,3959,7494,10575,4183,596,42.9,50663,24736,0,178,N,0,38219,63874,30679,33195
20,1125,0500000US01125,"Tuscaloosa County, Alabama",227007,109815,117192,93.7,13215,12129,14619,19347,23959,32055,28283,25413,11342,14278,20762,9049,2556,34.4,137185,73215,168,3288,N,0,103062,174079,81951,92128
21,2020,0500000US02020,"Anchorage Municipality, Alaska",288121,147647,140474,105.1,18358,21245,18627,18904,18988,47051,42922,32763,15845,16807,24270,9921,2420,35.2,164330,14744,19194,27525,1744,9011,119808,210378,108088,102290
22,2090,0500000US02090,"Fairbanks North Star Borough, Alaska",95593,52000,43593,119.3,6391,7390,4797,7443,8254,16758,12324,10694,4939,4603,8147,3016,837,32.0,66204,3913,5318,3101,81,339,42673,70845,38853,31992
23,2170,0500000US02170,"Matanuska-Susitna Borough, Alaska",110686,57644,53042,108.7,7048,7139,9862,7310,6140,15390,16017,12729,6968,7443,10225,3395,1020,36.9,84657,1088,6778,2252,0,530,51141,80395,42274,38121
24,4001,0500000US04001,"Apache County, Arizona",65623,32022,33601,95.3,3642,5565,4856,5248,3845,8590,7248,7301,3479,4764,6986,3112,987,35.9,12538,1304,46556,629,N,156,28867,47347,23267,24080
25,4003,0500000US04003,"Cochise County, Arizona",126050,63923,62127,102.9,6684,8866,6601,6920,7830,15597,13625,13574,7841,8566,17372,10200,2374,43.2,78225,4095,1477,1944,0,46,59159,92581,47724,44857
26,4005,0500000US04005,"Coconino County, Arizona",145052,71084,73968,96.1,7015,8318,8650,17266,16409,19121,16593,14728,6576,10012,13698,5522,1144,33.0,78570,2009,37699,2717,N,288,70055,111729,54953,56776
27,4013,0500000US04013,"Maricopa County, Arizona",4496588,2234953,2261635,98.8,258359,278069,313113,304712,296777,654569,598246,555232,263720,264277,418552,215888,75074,37.3,2609581,250533,84315,193923,53173,9317,1849103,3143810,1546707,1597103
