Week_Number,New_Cases_mean,New_Cases_median,New_Cases_mode,New_Deaths_mean,New_Deaths_median,New_Deaths_mode,Week_Dates,Population
22,93714.0,67209.0,158949,187.6,192.0,483,Jun-01 to Jun-05,328239523
23,86726.57142857143,83367.0,150752,294.57142857142856,165.0,376,Jun-06 to Jun-12,328239523
24,102962.57142857143,72445.0,75974,253.0,260.0,217,Jun-13 to Jun-19,328239523
25,74973.0,72909.0,52290,220.0,135.0,105,Jun-20 to Jun-26,328239523
26,102170.0,71155.0,71155,354.0,330.0,134,Jun-27 to Jul-03,328239523
27,81925.71428571429,81309.0,40638,746.4285714285714,298.0,112,Jul-04 to Jul-10,328239523
28,107555.57142857143,96391.0,96391,174.28571428571428,211.0,-534,Jul-11 to Jul-17,328239523
29,92463.71428571429,104831.0,116054,261.57142857142856,255.0,255,Jul-18 to Jul-24,328239523
30,112719.0,106606.0,109132,271.57142857142856,262.0,262,Jul-25 to Jul-31,328239523
31,83447.71428571429,80302.0,113485,335.14285714285717,436.0,333,Aug-01 to Aug-07,328239523
32,91146.71428571429,101524.0,67006,303.57142857142856,349.0,229,Aug-08 to Aug-14,328239523
33,70534.57142857143,75721.0,127389,280.2857142857143,290.0,0,Aug-15 to Aug-21,328239523
34,55269.57142857143,73553.0,70694,-135.42857142857142,252.0,252,Aug-22 to Aug-28,328239523
35,-3756.1428571428573,19838.0,49807,-1031.142857142857,122.0,221,Aug-29 to Sep-04,328239523
36,72985.14285714286,77173.0,89024,279.7142857142857,328.0,333,Sep-05 to Sep-11,328239523
37,37977.857142857145,35884.0,-14765,278.14285714285717,322.0,268,Sep-12 to Sep-18,328239523
38,51433.0,45605.0,41864,301.0,281.0,219,Sep-19 to Sep-25,328239523
39,32518.571428571428,34212.0,38758,224.14285714285714,226.0,206,Sep-26 to Oct-02,328239523
40,35055.57142857143,33098.0,30203,310.14285714285717,185.0,185,Oct-03 to Oct-09,328239523
41,32811.28571428572,36759.0,23551,267.42857142857144,259.0,158,Oct-10 to Oct-16,328239523
42,25347.571428571428,26129.0,18909,221.57142857142858,275.0,187,Oct-17 to Oct-23,328239523
43,31093.14285714286,38705.0,38705,257.57142857142856,332.0,366,Oct-24 to Oct-30,328239523
44,31510.85714285714,37003.0,21821,212.0,215.0,127,Oct-31 to Nov-06,328239523
45,28137.714285714286,22876.0,22467,60.57142857142857,45.0,101,Nov-07 to Nov-13,328239523
46,31750.714285714286,32193.0,53563,193.85714285714286,60.0,695,Nov-14 to Nov-20,328239523
47,30052.571428571428,24108.0,25664,221.28571428571428,64.0,583,Nov-21 to Nov-27,328239523
48,44378.42857142857,44243.0,78534,307.57142857142856,308.0,351,Nov-28 to Dec-04,328239523
49,45752.0,36140.0,67732,280.2857142857143,253.0,0,Dec-05 to Dec-11,328239523
50,46699.142857142855,31251.0,10600,240.14285714285714,64.0,0,Dec-12 to Dec-18,328239523
51,42741.57142857143,31745.0,42551,146.71428571428572,30.0,-116,Dec-19 to Dec-25,328239523
52,40203.166666666664,23150.0,6841,338.5,144.5,12,Dec-26 to Dec-31,328239523
